year,city,country,countriesparticipating,participants,men,women,sports,events
2022,Beijing,China,,,,,,
2018,Pyeongchang,South Korea,92,2922,1680,1242,15,102
2014,Sochi,Russia,89,2749,1643,1103,15,98
2010,Vancouver,Canada,82,2536,1503,1033,15,86
2006,Torino,Italy,79,2494,1539,955,15,84
2002,Salt Lake City,United States,77,2399,1513,886,15,78
1998,Nagano,Japan,72,2180,1390,789,14,68
1994,Lillehammer,Norway,67,1738,1215,522,12,61
1992,Albertville,France,64,1801,1312,488,12,57
1988,Calgary,Canada,57,1427,1109,315,11,46
1984,Sarajevo,Yugoslavia,49,1273,996,277,10,39
1980,Lake Placid,United States,37,1072,837,235,10,38
1976,Innsbruck,Austria,37,1129,897,231,10,37
1972,Sapporo,Japan,35,1008,802,206,10,35
1968,Grenoble,France,37,1160,949,211,10,35
1964,Innsbruck,Austria,36,1094,894,200,10,34
1960,Squaw Valley,United States,30,665,521,144,8,27
1956,Cortina d'Ampezzo,Italy,32,821,689,132,8,24
1952,Oslo,Norway,30,694,585,109,8,22
1948,Sankt Moritz,Switzerland,28,668,591,77,9,22
1936,Garmisch-Partenkirchen,Germany,28,668,588,80,8,17
1932,Lake Placid,United States,17,253,231,21,8,14
1928,Sankt Moritz,Switzerland,25,461,433,28,8,13
1924,Chamonix,France,19,313,300,13,9,17
