0,,Beijing,,China,,,,"[2022, Beijing, China, nan, nan, nan, nan, nan, nan]",39.90419989999999,116.4073963,,1,,,,OK,,,2022.0
1,,Pyeongchang,92.0,South Korea,102.0,,,"[2018, Pyeongchang, South Korea, 92.0, 2922.0, 1680.0, 1242.0, 15.0, 102.0]",37.370474,128.3899769,1680.0,1,2922.0,,15.0,OK,,1242.0,2018.0
2,,Sochi,89.0,Russia,98.0,,,"[2014, Sochi, Russia, 89.0, 2749.0, 1643.0, 1103.0, 15.0, 98.0]",43.60280789999999,39.7341543,1643.0,1,2749.0,,15.0,OK,,1103.0,2014.0
3,,Vancouver,82.0,Canada,86.0,,,"[2010, Vancouver, Canada, 82.0, 2536.0, 1503.0, 1033.0, 15.0, 86.0]",49.2827291,-123.1207375,1503.0,1,2536.0,,15.0,OK,,1033.0,2010.0
4,,Torino,79.0,Italy,84.0,,,"[2006, Torino, Italy, 79.0, 2494.0, 1539.0, 955.0, 15.0, 84.0]",45.070312,7.686856499999999,1539.0,1,2494.0,,15.0,OK,,955.0,2006.0
5,,Salt Lake City,77.0,United States,78.0,,,"[2002, Salt Lake City, United States, 77.0, 2399.0, 1513.0, 886.0, 15.0, 78.0]",40.7607793,-111.8910474,1513.0,1,2399.0,,15.0,OK,,886.0,2002.0
6,,Nagano,72.0,Japan,68.0,,,"[1998, Nagano, Japan, 72.0, 2180.0, 1390.0, 789.0, 14.0, 68.0]",36.6485829,138.1947709,1390.0,1,2180.0,,14.0,OK,,789.0,1998.0
7,,Lillehammer,67.0,Norway,61.0,,,"[1994, Lillehammer, Norway, 67.0, 1738.0, 1215.0, 522.0, 12.0, 61.0]",61.1152713,10.4662306,1215.0,1,1738.0,,12.0,OK,,522.0,1994.0
8,,Albertville,64.0,France,57.0,,,"[1992, Albertville, France, 64.0, 1801.0, 1312.0, 488.0, 12.0, 57.0]",45.675535,6.392726,1312.0,1,1801.0,,12.0,OK,,488.0,1992.0
9,,Calgary,57.0,Canada,46.0,,,"[1988, Calgary, Canada, 57.0, 1427.0, 1109.0, 315.0, 11.0, 46.0]",51.0486151,-114.0708459,1109.0,1,1427.0,,11.0,OK,,315.0,1988.0
10,,,,,,,,"[1984, Sarajevo, Yugoslavia, 49.0, 1273.0, 996.0, 277.0, 10.0, 39.0]",,,,0,,,,ZERO_RESULTS,,,
11,,Lake Placid,37.0,United States,38.0,,,"[1980, Lake Placid, United States, 37.0, 1072.0, 837.0, 235.0, 10.0, 38.0]",44.2794911,-73.9798713,837.0,1,1072.0,,10.0,OK,,235.0,1980.0
12,,Innsbruck,37.0,Austria,37.0,,,"[1976, Innsbruck, Austria, 37.0, 1129.0, 897.0, 231.0, 10.0, 37.0]",47.2692124,11.4041024,897.0,1,1129.0,,10.0,OK,,231.0,1976.0
13,,Sapporo,35.0,Japan,35.0,,,"[1972, Sapporo, Japan, 35.0, 1008.0, 802.0, 206.0, 10.0, 35.0]",43.0620958,141.3543763,802.0,1,1008.0,,10.0,OK,,206.0,1972.0
14,,Grenoble,37.0,France,35.0,,,"[1968, Grenoble, France, 37.0, 1160.0, 949.0, 211.0, 10.0, 35.0]",45.188529,5.724524,949.0,1,1160.0,,10.0,OK,,211.0,1968.0
15,,Innsbruck,36.0,Austria,34.0,,,"[1964, Innsbruck, Austria, 36.0, 1094.0, 894.0, 200.0, 10.0, 34.0]",47.2692124,11.4041024,894.0,1,1094.0,,10.0,OK,,200.0,1964.0
16,,Squaw Valley,30.0,United States,27.0,,,"[1960, Squaw Valley, United States, 30.0, 665.0, 521.0, 144.0, 8.0, 27.0]",39.1969804,-120.2357055,521.0,1,665.0,,8.0,OK,,144.0,1960.0
17,,Cortina d'Ampezzo,32.0,Italy,24.0,,,"[1956, Cortina d'Ampezzo, Italy, 32.0, 821.0, 689.0, 132.0, 8.0, 24.0]",46.5404711,12.1356524,689.0,1,821.0,,8.0,OK,,132.0,1956.0
18,,Oslo,30.0,Norway,22.0,,,"[1952, Oslo, Norway, 30.0, 694.0, 585.0, 109.0, 8.0, 22.0]",59.9138688,10.7522454,585.0,1,694.0,,8.0,OK,,109.0,1952.0
19,,Sankt Moritz,28.0,Switzerland,22.0,,,"[1948, Sankt Moritz, Switzerland, 28.0, 668.0, 591.0, 77.0, 9.0, 22.0]",46.4907973,9.8355079,591.0,1,668.0,,9.0,OK,,77.0,1948.0
20,,Garmisch-Partenkirchen,28.0,Germany,17.0,,,"[1936, Garmisch-Partenkirchen, Germany, 28.0, 668.0, 588.0, 80.0, 8.0, 17.0]",47.4916945,11.0954984,588.0,1,668.0,,8.0,OK,,80.0,1936.0
21,,Lake Placid,17.0,United States,14.0,,,"[1932, Lake Placid, United States, 17.0, 253.0, 231.0, 21.0, 8.0, 14.0]",44.2794911,-73.9798713,231.0,1,253.0,,8.0,OK,,21.0,1932.0
22,,Sankt Moritz,25.0,Switzerland,13.0,,,"[1928, Sankt Moritz, Switzerland, 25.0, 461.0, 433.0, 28.0, 8.0, 13.0]",46.4907973,9.8355079,433.0,1,461.0,,8.0,OK,,28.0,1928.0
23,,Chamonix,19.0,France,17.0,,,"[1924, Chamonix, France, 19.0, 313.0, 300.0, 13.0, 10.0, 17.0]",45.923697,6.869433,300.0,1,313.0,,10.0,OK,,13.0,1924.0
